trip_id,cab_id,payment_id,start_location_latt,start_location_long,end_location_latt,end_location_long,Amount_paid,Amount_paid_type,cab_type,trip_rating,Cab_booking_time,Cab_booking_date,travel_time,waiting_time,discount_applied,single_lady
13,ecbc0413-5913-4492-b3c4-90125051c3d9,299a7206-b0bd-43cf-8223-9d074a19735b,11.5742086,37.3613533,29.6211025,-95.2632201,1015.17,cash,auto,5,22:33,11/4/2016,238,8,yes,yes
14,4f980d4c-3b94-4d6e-a99d-b6c312bdd440,1c58a1e2-1207-4654-9496-f66adf1257fe,-42.8821377,147.3271949,16.3763389,102.1287289,1068.23,cash,micro,3,14:06,6/25/2016,188,29,yes,yes
15,6cb6144b-f998-4571-80d5-a59c310e74f5,5fea86ba-5a81-468c-a498-850d462b782d,52.85768,14.39293,39.921095,111.647609,1733.74,cash,sedan,5,4:24,11/10/2016,131,5,yes,yes
16,5a607c77-4fd1-44a7-95a7-03a6d90229c6,74f2076d-6ce1-4798-9d43-29df05509c52,51.783333,87.253,56.8802017,52.2966875,513.98,cash,SUV,5,11:40,1/13/2017,256,24,no,yes
17,983f9542-9226-4428-a9d6-c0892ab96da9,3c408dff-7150-474d-a954-13a1c86d0da0,39.36445,112.992497,39.6611469,20.1789757,1552.2,cash,SUV,4,11:58,2/16/2017,156,16,no,yes
18,68fc12aa-7f0d-47cd-9373-2458c8a6dd24,de7eee84-382c-4c0e-8890-1b4824d922a9,14.868392,-91.619388,14.347522,120.9245309,966.39,cash,SUV,3,16:28,1/30/2017,167,18,yes,yes
19,640a223f-ab3d-4464-8076-a9ab796f56a0,effdd3fe-a4d4-4665-a264-b15a0c83475f,27.817808,114.917346,32.053558,12.5355393,1601.38,cash,SUV,4,20:11,10/12/2016,253,2,no,yes
20,1025ab16-7597-478f-9cbe-97a503e11f1a,402e7789-25ef-4ee8-9da5-ef73f9ebb335,30.3276652,-81.6631259,14.8004428,-89.551878,1376.15,cash,auto,4,13:56,10/27/2016,98,13,yes,no
21,7d6c3e42-6791-45d0-bf52-8418ba6a3ff8,a0556589-a49c-4f04-8153-0023d84bf5c2,52.1940358,104.246923,39.2349991,-9.3203293,382.61,cash,SUV,3,2:21,4/17/2017,284,30,no,no
22,200e2b83-be78-4060-9edc-6ffa5ec7055a,9d576e8d-c972-4a0f-9365-6dafb0c89c14,-6.893751,112.4514977,-6.6658733,106.8635643,1405.44,card,SUV,4,2:35,1/21/2017,147,21,no,no
23,42881238-2ecf-4f47-a121-0e51cd088308,19aecc24-0f17-4704-98db-98a2e28ca928,50.40008,-113.25189,18.2028605,-73.8874799,388.87,cash,SUV,3,2:08,10/15/2016,190,11,yes,no
24,1ea06002-4f52-4d5d-9601-cc81b229e09d,f63c688e-80ac-4768-a5e6-b4f4fba76193,29.894972,121.538057,34.2412845,108.9652643,1251.58,cash,auto,4,16:09,4/11/2017,72,28,yes,no
25,58df6c91-5f39-42b3-8ed3-2b2e60ce9fca,d4a38521-93f0-4ce1-ab6c-341c83f273fb,-7.3195036,-76.7769324,45.8699,33.99138,1417.08,card,SUV,4,12:36,3/19/2017,197,18,no,yes
26,387a0bb8-fb47-4e67-92da-d57c3beb956b,71225175-3854-4507-92df-8d31e9682513,47.2320539,39.5359498,36.1100428,-115.3667218,482.69,cash,SUV,5,8:21,7/9/2016,236,22,no,no
27,127aa553-7376-449f-b64b-cc7024029d0b,f2990b3c-de63-44d4-a422-65bbf5cbc3a3,20.9069092,-77.2807423,-20.9400441,-48.4812248,1566.16,cash,auto,4,12:04,2/24/2017,128,16,no,no
28,ba9303ed-bd99-46ee-b0ff-5f57e9bf24c7,0d392300-c775-481d-b2ee-6d01125f4984,43.0414757,44.5711774,0.8231171,112.5662284,1023.84,card,auto,4,17:37,8/28/2016,231,20,no,no
29,73e60503-19cb-454d-bd3a-d3a4e9174253,64c044db-61b4-44ff-8126-f8e12ccb6632,20.0429063,110.354037,34.423878,110.947552,523.22,card,micro,5,11:34,8/13/2016,92,7,yes,no
30,0dc842de-4b05-42fe-b20e-f8ae0fd9664c,2d15ad7e-67ae-4dfb-b540-26eba6a28517,38.8208757,-9.1030431,55.499775,25.635173,177.98,cash,SUV,5,19:48,10/7/2016,98,7,yes,no
31,ed71e427-2dcf-4c0b-bd7b-d60b37c5f04e,75b158ad-fae0-401e-8de0-707a3f8b995d,30.761853,117.007039,5.6562651,-0.2338473,1184.34,card,sedan,4,11:35,6/28/2016,93,12,yes,yes
32,13b5cbcf-5007-4262-989d-fcdc2212f447,d5d26039-ab75-40a6-a529-f0dada27836e,30.629423,103.963147,19.6990411,-72.1579033,1682.57,cash,SUV,3,3:06,12/6/2016,173,5,no,no
33,e3b827e5-ea63-47d0-b923-2489f3075335,ef21b47f-2854-475f-97ba-eb1d4930ea11,-6.7116892,111.2815216,23.168765,113.272777,853.02,card,SUV,3,22:10,5/26/2017,106,2,no,yes
34,da3b9591-8019-4837-b6e5-ecc7d9f49a77,731d7b7f-0779-494a-b7bd-e07dd88e8a89,-25.3823822,-57.5872528,35.7819637,37.4974776,317.39,card,SUV,5,12:28,9/11/2016,289,13,yes,yes
35,6c14e424-ff61-4198-b6eb-3b01ae4d4cb0,c9223d51-b52c-44a9-93f6-3d556dc2ba8f,-26.94087,29.24905,48.4089744,135.123385,1073.67,cash,SUV,5,7:56,10/8/2016,182,16,no,yes
36,9ce95f7f-17d3-47ab-97a5-de6bde4833bf,b65776d1-171c-43c8-8022-9ee165f7471d,45.9028599,3.95435,38.5142512,116.5977552,1279.77,card,auto,3,16:54,2/8/2017,300,2,yes,no
37,50f8fe7a-14d8-42ed-b845-5632c7d4bd15,0e01c2fa-30c1-47a6-a58c-c3a2381a318b,-41.2913531,174.7799667,51.56696,15.53798,270.94,cash,sedan,5,8:49,1/13/2017,38,29,yes,no
38,4b4f914f-8a8d-4970-ab92-848bf1c5b96c,21ad46af-d939-49a7-8721-ee1fd400acb4,47.008673,124.17754,21.694896,110.307347,323.57,card,SUV,5,5:34,2/19/2017,217,8,yes,no
39,6d36017a-b329-4f3a-b419-418eb5f421a4,e4e7e194-3d97-4ffb-82ac-e206a63ddfd3,50.2671255,12.8970938,49.6823404,18.468024,1517.74,card,SUV,5,16:52,10/26/2016,64,18,yes,yes
40,fec9c64f-7c8b-4308-b135-d48f3d7bc072,7d3aefe8-6509-4a9e-ada1-10ce12780e02,51.7788594,19.181814,3.7334765,96.7999931,718.77,cash,SUV,4,11:15,7/8/2016,140,22,yes,yes
41,e2576d85-f434-4504-a4f2-d7d10fd828f5,e9a15687-72b2-4edc-a597-8f7c5f586a5f,39.1935336,-7.2866952,50.1080652,14.9181847,918.73,card,sedan,5,20:53,1/22/2017,212,11,no,yes
42,d815c04a-4acd-4ee9-aabb-5de8a032e2e0,c1ed62ce-9026-40b7-b61c-162f93c880f7,41.000673,123.2861901,33.580873,114.016536,767.9,card,auto,3,22:58,5/11/2017,97,22,no,no
43,90f39b5f-e1bc-4760-a343-4995709a6bb4,15decc03-9e69-4c60-b0dc-81f3270f7763,48.9097908,2.7104352,49.1954831,16.2990752,1855.8,cash,SUV,3,20:06,10/23/2016,189,22,no,no
44,aeee76e2-7334-4786-b93c-bb14d3d57e2c,79b1d885-4d2f-44e7-a9ee-d1e25dc77f0a,46.5399962,15.5073987,-8.7733,121.137,1598.66,cash,SUV,5,23:28,7/25/2016,205,11,no,yes
45,115c9f84-64c2-45e5-b7ba-ad1a5c251fc8,f95b7e4b-da08-4cbe-a908-3f179114dfea,57.6581105,11.9042745,4.517444,-74.790311,416.06,cash,auto,4,1:52,10/24/2016,283,20,yes,no
46,f94d6305-8d94-4c5b-9cda-5095c321cbda,caf3b68c-7cb6-4634-ae8f-e26748499c35,39.639488,110.606483,-6.9140922,112.4202058,1306.81,cash,auto,5,3:50,8/20/2016,297,16,yes,no
47,119e34d7-c93b-4c0d-b594-8ec3825e934c,5fedbbdd-bf95-4d29-881a-d6f3673b762c,43.553302,6.574529,56.1465144,43.7911745,582.67,card,auto,3,9:31,8/28/2016,297,19,no,no
48,7071764b-67c4-4483-ac56-ecad60ee1cdf,f6452888-0bee-40af-b000-6b8e4e75b405,0.9681789,-79.6517202,28.211997,113.111822,705.75,card,SUV,3,20:03,2/24/2017,215,19,yes,yes
49,46a639e4-8ae3-486d-b576-c24c73a194f0,8a48c74b-91cb-4626-83af-73b7a34b5a52,-7.8305129,112.0192359,55.1662846,58.7926322,931.01,card,SUV,4,6:41,11/5/2016,138,3,yes,yes
50,9b070c4c-e48a-4e1e-9dfe-f9f62e7224ce,921e8a0d-f70a-40c2-a93c-cf86b63d6f3b,38.67387,-27.281743,-7.1477523,109.9854145,1088.44,cash,micro,3,17:00,12/12/2016,293,14,yes,yes
51,4c2fb589-e3a8-4924-9c83-88dbddea4a56,055d4eff-4445-4693-b05b-fd87e126ada3,51.626324,39.4129061,55.527934,35.6160989,1869.57,cash,SUV,4,17:14,5/3/2017,127,20,no,no
52,daef5a2d-5585-445f-9d01-b54c99078df4,0d0ebd9f-39e6-4d34-81b6-2fd46f352260,43.3213308,45.044839,28.435584,116.483259,942.02,cash,auto,4,10:22,12/27/2016,149,23,yes,yes
53,3e885680-aa23-4a8c-964b-319a6d2e8f5d,17721532-5275-4ed8-b07d-15e3be1b5a4a,14.1762086,-90.2625604,20.3231704,106.0140586,821.06,cash,micro,3,3:54,6/29/2016,125,8,no,no
54,dd0c1cc6-ec01-44e5-9e4e-d9f11632056a,3c31cf4c-b6f1-4bd7-9a9c-379121b1e4da,10.3753838,123.9555544,31.4151366,51.5683274,1032.33,cash,SUV,3,14:10,8/16/2016,236,18,yes,yes
55,92bf60cb-fed9-418a-93cb-82e24272225d,7374a084-75fa-4ba7-b2be-f09493e453b7,-21.8737026,-51.8452266,0.2826569,32.5662219,1538.49,card,auto,4,0:11,6/27/2016,286,22,yes,no
56,4788bc49-c0bd-4c12-b192-163c4e888656,6037fcd9-f4ff-4a0d-92a8-0399c49929a0,-30.1647807,-53.5608275,29.2378946,30.7913458,1479.45,card,micro,3,10:55,4/16/2017,92,14,no,no
57,2a5dba7a-75ff-427c-bb7b-2a3ab316aeb8,8d01a18e-2b1e-4691-b1dc-9f68210828cc,23.081924,113.290997,29.3781872,121.9194335,366.68,cash,SUV,3,10:31,1/20/2017,166,4,yes,yes
58,76880610-8e55-4b48-9ba1-03bdb5a51f85,a38b9c59-5337-4baa-8daa-0c9e8be14118,-8.2046795,111.9969626,44.00947,67.41062,550.55,card,sedan,5,4:30,1/31/2017,192,14,yes,no
59,cbee9541-d2b8-4f62-bb58-c68acdcd0a2c,7f5fb403-9011-4e17-afdb-135163141851,32.5443894,73.1990129,34.99015,70.91302,1313.36,card,auto,5,18:03,3/27/2017,124,5,yes,yes
60,5c7aedd6-1040-4daf-a08f-3b6be38e0533,f69cee6d-ebb1-4042-8103-e6a5d23e49d5,-8.0936589,112.1107297,38.1535213,22.3143775,116.93,cash,auto,5,23:45,4/8/2017,133,10,yes,yes
61,5d5c4486-4bb0-4240-b4cc-ab6de32433d2,a578f55a-5b70-4020-a5ff-e61a76668ad8,23.0714717,90.9120501,17.1238845,-61.8233706,1615.1,cash,SUV,5,4:16,10/29/2016,94,11,yes,no
62,c1ec3259-89eb-4817-b53d-babc498c83c4,b7bdd50f-9266-4df2-9268-8d3dafe30f9f,53.944,27.7823,30.321469,120.144771,1759.13,cash,micro,5,6:21,2/22/2017,169,9,no,yes
63,d5151d90-fe48-4221-8026-27c73f48004c,c08b052a-0fa0-4e8c-a4ac-d7ebdcb09594,55.86667,37.5,35.071102,115.573036,1781.82,card,SUV,3,4:16,11/11/2016,190,22,no,no
64,0eb6f34a-aab3-429f-8fde-bfa896ecdd69,2ca31ed8-624c-4643-a002-9fe011eb4560,16.5653818,121.1741531,36.776357,119.98842,198.96,card,sedan,5,5:57,3/12/2017,136,4,no,no
65,45fd036e-43cd-413f-9a9a-3dc179a5950c,0e8f1a95-53a4-4f6b-8006-af148d47f034,41.046959,-8.6423484,40.3519909,-7.8410273,889.13,card,SUV,3,21:24,8/7/2016,115,20,no,yes
66,2156a264-0d81-4039-9dae-065c5fa88784,9092fcec-a88a-4e75-8291-642ea3e2922d,46.364025,124.25218,-8.6091128,122.7781579,1273.16,cash,auto,4,4:31,12/17/2016,281,20,yes,no
67,db5b01ac-d8c3-4c3b-8840-ec1de82c586b,5135b32a-341b-4932-acb6-9901f901ebe1,35.1595989,-106.566764,40.0336591,52.9759299,935.38,card,sedan,4,14:07,10/12/2016,264,0,yes,yes
68,003d391c-63f4-453f-aa90-73bcdd542857,2592b99a-ec20-4877-88e9-83633db397c1,49.6246813,19.1833654,60.2274447,25.0812732,1165.27,card,SUV,4,7:51,5/23/2017,107,2,no,yes
69,870f9da8-bb77-4c16-98ef-cae6d66e564b,697e6234-44c6-4a79-a76a-4496b149d9d9,45.6629694,6.3760602,18.1752248,-77.0881034,1360.57,card,auto,5,6:35,9/1/2016,51,14,no,no
70,28a57393-d6f2-4e8f-bd8d-92003aacc8a1,379d69d5-8085-4497-abe2-1464da5a8228,37.7688197,140.7154397,31.28855,114.497908,1490.58,card,auto,4,8:24,11/3/2016,236,12,yes,no
71,0c44cade-fb19-4a0c-86d4-2f0e99489a2b,80895806-f713-423b-9249-a654ab98aee3,45.090227,16.0189989,38.67387,-27.281743,1707.71,card,SUV,3,5:13,3/26/2017,173,7,yes,yes
72,05a9da5a-449e-4734-970b-9f62bab68d91,8a1b93f5-1af2-42f2-a640-018211f89432,59.4048322,17.9494929,8.0076463,-80.9815817,717.6,cash,SUV,5,17:22,5/12/2017,92,30,yes,no
73,5442b663-e6ce-40fe-8f48-4e1255233090,7d0107f5-4b7b-4188-b4fc-b2e9af9937ff,44.956193,128.3838321,7.8394835,126.0502748,1369.84,cash,SUV,3,20:47,2/18/2017,127,30,no,yes
74,a37e56d7-468e-4ba2-8fa6-c43d9d73865e,c96dd4e8-1bf6-4a77-b293-ff84bcb12dc4,51.3106091,21.2523841,-32.9416425,-68.8605052,1352.71,cash,SUV,4,1:45,1/7/2017,152,0,yes,no
75,a61086be-1bb8-4a1d-9469-746ed3ce161f,6a89cb86-c8cd-4deb-9666-0fa4d20ce15d,58.1293824,12.7944645,51.1672774,18.0050053,1855.38,card,SUV,5,5:18,8/4/2016,119,18,yes,yes
76,c6ce1179-330f-4b14-b4af-e014a3c9f702,604ef7fe-8f14-415a-af68-ce43d432e697,52.4977237,20.5022109,10.5839407,125.1861057,725.49,cash,SUV,5,13:56,4/7/2017,265,25,no,yes
77,8eb7185f-45b2-4fc7-a624-9dde2cfb595a,1bf3b5c0-b8c6-4891-befa-bb3e9cdf9f71,47.3591366,2.8002946,45.9120061,6.1549499,592.77,card,auto,4,20:23,11/21/2016,94,27,yes,yes
78,3cd33ed4-580e-4791-a178-32f350f564e9,93fa2151-2436-4614-af89-60958f1990ee,12.3772165,-85.6698146,23.303506,58.026708,1070.02,card,SUV,5,7:01,2/13/2017,262,7,no,no
79,066eb2d4-f2c8-45cc-ae38-4cd04b8d3909,9f88ed19-e260-48ab-83d9-513d01fb333d,-6.9834604,112.3367573,35.1541677,37.2089056,1933.21,card,SUV,4,16:45,12/19/2016,220,16,no,yes
80,1736b95b-e0c5-4658-92f9-443baa2bb8aa,b1cc36db-0e05-4ba5-8328-949bd410ae67,58.5235952,13.4953857,42.6580023,141.6664383,926.84,card,auto,3,6:01,11/11/2016,132,20,yes,no
81,231a2f24-9b00-4120-9f82-2a6ef6b9c6d0,ecf43478-3cb2-4b8c-a7a0-e9e1b6b0632c,10.2621857,-71.3646236,13.1789151,123.7396635,1563.79,card,auto,3,8:55,2/16/2017,163,7,no,yes
82,4d637c59-cfb3-4131-8078-697ccd2122bc,fab728a6-1309-45fa-935a-91449859722e,-27.3607338,-53.3963199,35.2593608,36.3768911,1803.21,card,SUV,4,10:50,8/17/2016,188,28,no,no
83,a9c6b1a0-0f28-4db1-a0d8-1747dd917b9e,ef62feba-f9a0-4540-9c28-d1ce664ad1b0,35.0863004,-85.1790404,-6.9819,113.5989,514.08,card,auto,3,22:29,10/11/2016,125,14,yes,yes
84,8070b4ad-39b0-4e79-b05b-895a10e9bdf8,0f887276-fdb4-44b5-bc14-0247ea1f2b18,5.1625611,5.9251211,36.7252955,24.4447587,1657.07,card,sedan,4,20:39,1/2/2017,245,21,no,no
85,99d85416-8a03-465b-a9a7-a8f6c9ec735f,9e40d08e-875c-43ca-a884-85dc4038da28,-12.5327517,-38.3001614,53.7683238,18.1130662,1644.34,card,SUV,4,3:58,4/18/2017,98,1,no,yes
86,255600a1-6e17-4d98-8a21-90a8fee283f9,23dfb484-ed2e-49c1-958e-9f20913bed73,-9.6883,124.2784,-6.167924,106.8500431,1699.44,cash,micro,4,5:55,2/21/2017,162,4,yes,yes
87,142f6fae-5c97-42bc-9524-ae96b34f4cfe,1ff769fe-8a35-4e94-8bd5-8dca9ff17094,33.999466,-117.6834051,37.439299,-5.9885456,239.99,cash,SUV,5,0:09,12/14/2016,87,2,no,no
88,05bcfb6d-d2d0-4765-a480-36ff6c2c026a,13d3c0e4-6754-43f9-a0a5-51cc97c5e066,7.5949353,124.153749,16.90641,44.27622,221.83,card,micro,4,9:38,7/3/2016,77,27,no,yes
89,1526be9f-a715-497a-acf5-1ea998a694e5,b166db44-b1e2-4f61-9ebd-11a0bc3576d4,29.808374,120.118331,38.47436,106.239679,166.51,card,SUV,5,15:34,4/15/2017,286,2,no,yes
90,92a407d6-073c-4e8b-a6a3-92024fd4a9a5,d0379a52-7c2d-477b-9052-bb9b62d6b189,56.9651439,26.3110469,58.6247472,59.8241142,1854.8,card,auto,4,3:50,4/7/2017,208,10,yes,yes
91,c21b2484-5784-464d-9669-f5348d45fb63,0dfc318a-03af-442d-bdd7-89ba4f8c6d2e,45.850714,4.7852819,11.7367016,122.0389128,1112.58,cash,SUV,5,7:47,5/22/2017,215,7,no,yes
92,255c38f7-209a-4253-bc92-131c6a991f46,3f8d7564-d0ed-4396-a7df-1b341e3e17aa,29.7491757,-95.3632107,10.1315305,124.1775822,1992.81,card,auto,5,23:34,9/14/2016,300,13,yes,no
93,5f7ea2d3-cbfe-4b4f-9ba4-50ea367e098a,8c2d944c-cefe-4d75-a61c-198109ae8fd5,8.47834,125.743983,33.387684,114.021538,1358.73,cash,SUV,5,18:11,11/25/2016,260,19,yes,yes
94,3c281247-28fa-42ea-9542-3336308de3c4,728dada8-89c7-44e6-af88-3b05b308b4e9,37.031485,118.254644,22.517585,113.39277,675.86,card,SUV,3,18:46,3/10/2017,165,16,yes,yes
95,534b184a-6105-41a6-8c7b-bc5c4332c369,254b95ef-6986-40d5-8391-79c14f9b6224,21.4674584,-71.1389101,22.69569,112.225334,1465.25,cash,SUV,5,14:27,4/9/2017,96,2,yes,no
96,2d06986b-9085-4681-8b5c-f84946e61230,1bca2490-ff71-4a65-b0ae-32ebc7d57847,33.4596808,132.7393724,-7.6181938,109.1508428,1537.12,cash,SUV,3,5:30,11/19/2016,275,8,yes,no
97,07b4c2ba-57b9-4843-9b44-ddc8892f1a64,5c579b0f-a2e3-4db8-a920-c6aae7b430b1,39.9831117,-75.1150466,-8.3488,123.6542,369.33,cash,SUV,5,11:56,12/30/2016,99,19,no,yes
98,3c947066-0928-46ec-9957-27ceaba7d42e,56bac26e-3553-4364-88be-cec18ec7be09,50.3201495,119.1052507,37.489877,117.509921,986.62,cash,sedan,5,10:32,8/25/2016,113,22,yes,no
99,f302dfc9-b07f-41c4-b4ef-27066f21a6c9,1a7cddd9-f346-4b24-821d-ee5cd5e46236,49.863612,-119.5644584,22.669716,114.026395,1601.69,cash,auto,5,11:00,8/6/2016,205,11,yes,yes
100,bc06dd1c-ba8b-4365-b75d-6f02a0a5596f,fe934080-4831-48e8-9421-288669183bab,12.5794519,3.8938528,40.8246053,-73.112232,1652.16,card,micro,5,18:14,11/29/2016,79,26,no,yes
101,3d33b7b2-af88-463e-a167-9a30b8137b3a,7377a9cd-f9f1-4419-8d79-e221c1c256ef,-34.990888,138.574391,47.1666507,8.2894205,769.69,card,SUV,3,10:08,1/20/2017,178,5,yes,no
102,f3b08505-b0b2-408e-bcda-39ef69e85f14,3fb27b7f-d0be-441f-9b83-0095154d2466,10.7164071,123.37862,39.8343699,-8.8501923,1342.05,card,SUV,4,10:20,6/23/2016,146,18,no,yes
103,e5ad1721-aee7-4a9f-a396-22664c23c2a6,c1c0c9d4-42bb-409c-acc4-d5492faec23d,-7.7514362,110.4162931,47.2174874,-1.5419505,1189.29,card,sedan,3,21:17,5/7/2017,225,11,yes,no
104,eedfb1cf-8a68-49f9-a750-58b7c208da0a,3543e514-6e9a-4d2c-a56c-6a9ed5d625f5,7.6703363,123.0043968,5.075748,-75.964144,1181.61,cash,SUV,5,11:58,8/27/2016,120,13,no,yes
105,a666bff1-ce5f-4436-b711-c184402a4613,52104d18-d76d-4b6c-913e-31dda6de58ba,26.8844636,-81.734942,40.5042923,21.1592873,1800.23,card,SUV,3,12:09,5/11/2017,122,5,yes,yes
106,9218c12e-ac05-4d00-a8f3-8f2cd4a6b265,e0c3ee9b-d4f5-4b42-9dc6-5ceee6e172df,16.4311476,103.5083998,23.254488,116.370159,1182.71,cash,SUV,3,7:02,4/13/2017,37,19,no,no
107,5d97ed1a-695f-4709-a143-221a41bb5e81,d6a79718-8427-4c33-82fa-353790daad94,-6.6063841,106.7617984,31.83366,35.11894,252.39,card,auto,3,9:08,9/6/2016,159,17,yes,no
108,7b365938-7e85-4ef7-92d9-494ad555a35f,dfc6046a-6e64-478a-9c90-972849735972,-6.5643956,106.2522143,53.2067339,22.166847,1061.33,card,SUV,3,21:46,2/25/2017,198,22,yes,yes
109,ede20c56-dccf-458a-8f6e-9be1fdabd86a,db11109e-078b-4da5-8a9a-e78a51e18426,-8.3661233,115.674668,31.7659313,120.2951156,343.78,card,auto,5,20:30,10/9/2016,201,13,yes,no
110,4386e40f-9603-4290-805e-c24c8ea2faab,1da6703a-2571-4094-af40-5bda39fc3c64,44.0127932,20.9114225,30.638674,119.680353,1884.97,cash,auto,3,6:46,9/6/2016,194,16,yes,yes
111,df99f4a0-9f46-4172-975c-01d9adb9fdc3,568c74b3-f51f-4064-9c69-19abfa67cfe2,46.8538849,38.4738904,5.4807517,10.4284178,515.55,cash,SUV,3,19:33,1/9/2017,106,29,no,no
112,fe2cb795-efa2-4815-9342-b07474cf6802,e32d9e96-0ec1-4e12-8a88-c840d7e09de3,9.791337,-74.7975249,13.7544241,100.5340482,1295.1,cash,SUV,5,20:49,11/6/2016,200,24,yes,no
113,77414a02-cab2-41de-85fe-d4bac63f201a,75ca8cbc-38ca-4b34-a137-e2f1d1c13b53,16.7646219,96.5329775,-5.4430889,-35.8716137,1634.93,cash,SUV,4,18:41,7/26/2016,65,0,no,no
114,33045d50-b52c-4115-b4dd-e66d264e72be,206d188d-f0cc-4455-8d9a-05909cf98a82,-5.8327847,-43.8356779,61.1012691,44.8327881,1652.74,cash,micro,3,19:56,12/25/2016,267,9,no,no
115,b56f0a46-8a50-49f6-8e31-aa58fd8911a9,f3799c6f-b600-4cd3-b377-fa7a1f87ca2f,22.483182,113.916509,34.7728913,138.0126666,1463.85,cash,SUV,4,4:17,6/28/2016,247,4,yes,yes
116,3918bf87-ffac-49c4-9482-57e3d77a652d,75fd5156-7a0e-49ac-ac29-24b593311e70,24.287534,102.753733,28.378946,109.362302,1861.42,cash,micro,5,12:50,1/4/2017,166,14,no,no
117,ff17ad4f-3e8c-4561-a7a0-8a008edce321,01a02185-46a2-4a2a-b841-6d6c78379fb7,34.90704,36.40444,-6.82482,107.0997164,1433.51,cash,micro,4,10:17,1/18/2017,159,5,no,no
118,86836e98-c9ee-47b1-8f39-27c1952c1ab6,5376f770-c83f-4186-b10f-7d5c63d17230,16.3258256,120.7236931,52.0564395,20.0873091,1650.92,cash,auto,4,14:05,10/30/2016,300,26,no,no
119,de4cd293-158b-49e7-b2d2-0b87db8c520d,25696822-c581-46de-b174-d47e8fa76a75,49.7863419,21.9461429,31.753884,118.565462,1089.35,card,SUV,3,19:02,11/15/2016,271,14,yes,yes
120,5fe7b862-32e9-4418-bd7f-46a6c123e79d,71f79d7a-b54c-42b1-bcb3-29a74fd06b4c,-10.6872332,-37.4329352,48.8693156,2.3501981,1554.87,card,micro,4,0:02,8/4/2016,215,17,no,yes
121,27c8121c-51fe-4c27-a13a-8e488cf9c0ef,14943525-cee6-48e5-ae09-fb90ca895a9d,23.027797,114.950182,21.5149423,-78.219132,803.53,card,auto,5,4:19,4/5/2017,296,26,yes,yes
122,db342200-72f0-4691-ad80-0643049bf9f6,48d8bf3c-b478-4f32-9461-8af89c86edd4,51.7386378,40.1348656,45.0386871,3.103119,946.16,card,SUV,3,3:21,6/19/2016,230,11,yes,no
